player_id,player_name,team,conference,season,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,kickReturns_AVG,kickReturns_LONG,kickReturns_NO,kickReturns_TD,kickReturns_YDS,kicking_FGA,kicking_FGM,kicking_LONG,kicking_PCT,kicking_PTS,kicking_XPA,kicking_XPM,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,puntReturns_AVG,puntReturns_LONG,puntReturns_NO,puntReturns_TD,puntReturns_YDS,punting_In 20,punting_LONG,punting_NO,punting_TB,punting_YDS,punting_YPP,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
102597,Will Rogers,Mississippi State,SEC,2022,,,,,,,,8,5,0,,,,,,,,,,,,,,,,,610,414,8,0.679,35,3963,6.5,,,,,,,,,,,,13,1,0,13,13.0,44,15,0,-165,-3.8
102597,Will Rogers,Mississippi State,SEC,2023,,,,,,,,2,1,0,,,,,,,,,,,,,,,,,237,142,4,0.599,12,1626,6.9,,,,,,,,,,,,,,,,,29,15,1,-13,-0.4
102597,Will Rogers,Washington,Big Ten,2024,0,0,0,1,0,0,1,5,2,1,,,,,,,,,,,,,,,,,311,220,7,0.707,14,2458,7.9,,,,,,,,,,,,,,,,,34,20,0,-79,-2.3
107494,Trey Sanders,Alabama,SEC,2020,0,0,0,1,0,0,1,,,,,,,,17.0,17,1,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,-2,-2.0,29,25,0,129,4.4
107494,Trey Sanders,Alabama,SEC,2021,0,0,0,1,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,6,0,55,9.2,72,20,2,314,4.4
107494,Trey Sanders,Alabama,SEC,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,0,13,6.5,14,11,1,80,5.7
107494,Trey Sanders,TCU,Big 12,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,0,20,4.0,48,18,6,176,3.7
107494,Trey Sanders,TCU,Big 12,2024,0,0,0,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,0,46,3.5
136429,Cedric Patterson III,Rice,Conference USA,2021,0,0,0,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,38,6,583,15.3,3,38,1,40,13.3
136429,Cedric Patterson III,Rice,Conference USA,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,4.0
146583,John Adams,Temple,American Athletic,2023,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,15,2,149,9.9,1,16,0,16,16.0
146583,John Adams,Temple,American Athletic,2024,0,0,0,3,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,1,1,0,,,,,,,35,16,1,194,12.1,3,4,0,9,3.0
169499,Ryan Johnson,Akron,Mid-American,2021,0,2,1,7,0,1.5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169499,Ryan Johnson,Akron,Mid-American,2022,1,1,1,13,0,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169499,Ryan Johnson,Akron,Mid-American,2023,0,0,0,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172288,Ryan Kelley,Eastern Washington,Big Sky,2021,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174194,Brett Johnson,California,Pac-12,2023,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184812,Calvin Moore,Cal Poly,Big Sky,2024,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0,8,8.0,,,,,
184812,Calvin Moore,Cal Poly,Big Sky,2025,0,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19014,Matt Harmon,Kent State,Mid-American,2022,0,0,0,2,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191729,Michael Williams,Florida International,Conference USA,2023,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094390,Michael Dansby,Arizona,Big 12,2025,10,0,0,15,0,0.5,19,0,0,1,0.5,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094390,Michael Dansby,San José State,Mountain West,2022,3,0,0,6,0,1,13,,,,3.0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094390,Michael Dansby,San José State,Mountain West,2023,4,0,0,10,1,1,15,,,,98.0,1,1,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094390,Michael Dansby,San José State,Mountain West,2024,6,0,0,30,0,0.5,37,,,,0.5,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233186,Josh Jenkins,Holy Cross,Patriot,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0.000,0,0,0.0,,,,,,,,,,,,,,,,,,,,,
237553,Tyler Green,Dartmouth,Ivy,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0.0
237553,Tyler Green,Dartmouth,Ivy,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,9,4.5
241161,TJ Jones,Western Carolina,Southern,2021,,,,,,,,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,0,10,5.0,4,6,0,10,2.5
241161,TJ Jones,Western Carolina,Southern,2022,,,,,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,32,1,215,6.7,86,22,4,423,4.9
245322,Marcus Patterson,Kennesaw State,Conference USA,2025,0,1,2,16,0,6.0,32,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245322,Marcus Patterson,Western Kentucky,Conference USA,2022,0,0,0,2,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245322,Marcus Patterson,Western Kentucky,Conference USA,2023,0,0,0,2,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245322,Marcus Patterson,Western Kentucky,Conference USA,2024,0,0,0.5,15,0,5,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2561489,Zach Von Rosenberg,LSU,SEC,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,61,59,2,2593,43.9,,,,,,,,,,
3116099,Monte Harrison,Arkansas,SEC,2024,,,,,,,,,,,,,,,11.0,11,1,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,0,29,14.5,,,,,
3116099,Monte Harrison,Arkansas,SEC,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1,0,29,29.0,,,,,
3118460,Tony Fair,Auburn,SEC,2021,0,2,1,2,0,1.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3118460,Tony Fair,UAB,Conference USA,2020,0,1,0,9,0,2,20,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3119536,Semise Kofe,Portland State,Big Sky,2021,0,0,0,2,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3121176,Gregg Storey,Liberty,FBS Independents,2021,0,0,0,4,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3121655,Justus Reed,Virginia Tech,ACC,2020,0,7,6.5,17,0,9.0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3138827,Kavika Fonua,BYU,FBS Independents,2020,3,0,0,11,0,2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4,2,36,9.0,16,16,0,69,4.3
3138841,Bracken El-Bakri,BYU,FBS Independents,2020,0,3,2.5,18,0,4.5,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3149687,Christopher Brooks,BYU,FBS Independents,2022,0,0,0,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,9,0,90,10.0,130,52,6,817,6.3
3149911,Jordan Jackson,Arkansas-Pine Bluff,SWAC,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,17,0,247,14.5,,,,,
3672814,Jared Kapisi,BYU,FBS Independents,2020,2,1,2,1,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3672814,Jared Kapisi,BYU,FBS Independents,2021,0,0,0,1,0,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
