school,conference,year,sp_overall,sp_offense,sp_defense
Ohio State,Big Ten,2024,31.2,39.5,9.2
Ole Miss,SEC,2024,27.9,37.7,11.9
Oregon,Big Ten,2024,26.0,40.8,16.3
Alabama,SEC,2024,25.0,37.9,14.6
Penn State,Big Ten,2024,24.6,37.5,13.1
Georgia,SEC,2024,24.3,37.3,14.9
Texas,SEC,2024,24.1,36.6,10.8
Notre Dame,FBS Independents,2024,23.9,38.6,14.1
Tennessee,SEC,2024,22.0,33.7,13.5
Miami,ACC,2024,21.6,44.2,24.3
Indiana,Big Ten,2024,20.1,35.0,16.4
SMU,ACC,2024,17.5,38.2,21.1
Texas A&M,SEC,2024,17.0,34.0,18.6
South Carolina,SEC,2024,16.9,32.1,16.0
LSU,SEC,2024,15.9,36.8,21.7
Iowa,Big Ten,2024,15.8,27.0,13.3
BYU,Big 12,2024,15.3,32.0,18.8
Kansas State,Big 12,2024,14.1,33.0,20.4
Missouri,SEC,2024,14.0,33.7,18.7
Florida,SEC,2024,13.8,31.7,20.0
Louisville,ACC,2024,13.6,37.7,22.9
Clemson,ACC,2024,13.3,35.4,20.9
USC,Big Ten,2024,11.9,35.6,24.0
Arkansas,SEC,2024,11.0,31.4,21.7
TCU,Big 12,2024,10.8,34.6,22.8
Michigan,Big Ten,2024,10.6,24.1,15.1
Minnesota,Big Ten,2024,10.4,25.6,15.4
Iowa State,Big 12,2024,10.3,30.8,20.2
Boise State,Mountain West,2024,10.1,35.3,24.2
Virginia Tech,ACC,2024,10.0,31.3,22.4
Illinois,Big Ten,2024,9.6,29.0,20.9
Memphis,American Athletic,2024,9.6,36.7,28.2
Auburn,SEC,2024,9.5,27.9,17.8
Oklahoma,SEC,2024,9.5,25.9,17.8
Arizona State,Big 12,2024,9.4,32.4,20.9
UNLV,Mountain West,2024,9.3,32.6,24.6
Army,American Athletic,2024,9.2,31.1,21.7
Baylor,Big 12,2024,8.4,33.5,26.2
Colorado,Big 12,2024,8.1,33.3,23.5
Utah,Big 12,2024,7.7,23.6,17.2
James Madison,Sun Belt,2024,7.5,29.7,22.9
Rutgers,Big Ten,2024,6.4,28.5,22.8
Tulane,American Athletic,2024,5.7,32.9,27.1
Duke,ACC,2024,5.6,26.7,21.3
Kentucky,SEC,2024,5.5,24.5,20.9
Syracuse,ACC,2024,5.5,35.8,28.9
Nebraska,Big Ten,2024,5.5,23.1,15.8
Texas State,Sun Belt,2024,5.4,34.2,28.4
North Carolina,ACC,2024,5.0,31.5,26.3
Vanderbilt,SEC,2024,4.9,28.2,25.4
Pittsburgh,ACC,2024,4.9,29.3,26.3
Kansas,Big 12,2024,4.9,32.4,26.5
Louisiana,Sun Belt,2024,4.8,31.5,27.8
Texas Tech,Big 12,2024,4.3,33.5,30.8
California,ACC,2024,4.0,27.4,22.9
NC State,ACC,2024,3.9,29.9,26.5
Navy,American Athletic,2024,3.5,29.5,24.4
Marshall,Sun Belt,2024,3.1,29.6,26.9
Washington,Big Ten,2024,3.1,27.3,22.4
Wisconsin,Big Ten,2024,3.0,23.0,19.8
South Alabama,Sun Belt,2024,2.8,29.9,26.9
UCF,Big 12,2024,2.8,29.0,25.8
Ohio,Mid-American,2024,2.3,27.2,23.9
UTSA,American Athletic,2024,2.2,32.3,31.5
West Virginia,Big 12,2024,2.1,30.1,29.7
Georgia Tech,ACC,2024,1.9,31.1,27.9
UConn,FBS Independents,2024,1.5,26.9,25.7
Miami (OH),Mid-American,2024,1.3,23.2,23.2
Washington State,Pac-12,2024,1.3,34.0,31.1
Boston College,ACC,2024,1.2,28.0,24.7
Liberty,Conference USA,2024,0.2,28.2,26.6
Cincinnati,Big 12,2024,-0.1,25.6,25.0
East Carolina,American Athletic,2024,-1.0,28.5,29.7
Jacksonville State,Conference USA,2024,-1.0,28.8,28.3
UCLA,Big Ten,2024,-1.3,21.3,23.3
Georgia Southern,Sun Belt,2024,-1.7,26.5,30.1
Bowling Green,Mid-American,2024,-1.8,25.6,27.2
Western Kentucky,Conference USA,2024,-2.2,22.1,26.1
South Florida,American Athletic,2024,-2.3,29.5,33.4
Toledo,Mid-American,2024,-2.5,24.5,26.3
Oklahoma State,Big 12,2024,-2.6,29.4,31.7
Arizona,Big 12,2024,-2.8,24.4,29.0
Florida State,ACC,2024,-3.2,20.1,25.3
Northern Illinois,Mid-American,2024,-3.5,20.0,21.6
Fresno State,Mountain West,2024,-3.8,25.1,27.6
Maryland,Big Ten,2024,-3.9,23.3,27.1
Buffalo,Mid-American,2024,-4.0,25.4,30.2
