school,conference,year,total_wins,total_losses,conf_wins,conf_losses
Tuskegee,SIAC,2024,5,6,5,3
St. Scholastica,Minnesota,2024,4,6,3,5
Greensboro College,USA South,2024,1,9,1,7
SUNY Maritime,NEWMAC,2024,7,3,5,2
Northern Iowa,MVFC,2024,3,9,1,7
BYU,Big 12,2024,11,2,7,2
Wisconsin,Big Ten,2024,5,7,3,6
UL Monroe,Sun Belt,2024,5,7,3,5
Minnesota State Moorhead,Northern Sun,2024,6,5,6,4
Eastern Kentucky,UAC,2024,8,5,6,2
Ferris State,GLIAC,2024,14,1,7,0
Elon,CAA,2024,6,6,5,3
Wilkes,Landmark Conference,2024,7,3,5,1
Bethel (MN),Minnesota,2024,11,3,6,2
Saint Vincent,Presidents',2024,1,9,1,9
Kenyon,North Coast,2024,5,5,4,4
Manchester,Heartland,2024,0,10,0,7
Shaw,CIAA,2024,6,4,5,3
Buena Vista,American Rivers,2024,2,8,2,6
Valparaiso,Pioneer,2024,4,7,2,5
Coastal Carolina,Sun Belt,2024,6,7,3,5
Monmouth (IL),Midwest,2024,8,2,8,1
Washington State,Pac-12,2024,8,5,0,1
Wake Forest,ACC,2024,4,8,2,6
Coe College,American Rivers,2024,9,2,7,1
New Mexico Highlands,Rocky Mountain,2024,2,9,2,7
Wisconsin-Eau Claire,Wisconsin,2024,2,8,1,6
North Park,CCIW,2024,5,5,4,5
Lane College,SIAC,2024,4,6,3,5
Morgan State,MEAC,2024,6,6,3,2
Stonehill,NEC,2024,1,10,0,6
Mississippi Valley State,SWAC,2024,1,11,1,7
Mercer,Southern,2024,11,3,7,1
Millersville,Pennsylvania State Athletic,2024,1,10,1,9
Hanover College,Heartland,2024,7,3,5,1
Georgia,SEC,2024,11,3,7,2
Wisconsin-Platteville,Wisconsin,2024,9,2,6,1
Hampton,CAA,2024,5,7,2,6
Franklin,Heartland,2024,3,7,2,4
USC,Big Ten,2024,7,6,4,5
Minnesota State Mankato,Northern Sun,2024,11,4,9,3
New Mexico State,Conference USA,2024,3,9,2,6
La Verne,So. Cal.,2024,0,10,0,8
Pittsburgh,ACC,2024,7,6,3,5
Western Kentucky,Conference USA,2024,8,6,6,3
South Dakota,MVFC,2024,11,3,7,1
Salisbury,New Jersey,2024,12,1,6,0
San Diego,Pioneer,2024,8,3,6,2
Florida,SEC,2024,8,5,4,4
Youngstown State,MVFC,2024,4,8,3,5
Dayton,Pioneer,2024,6,5,4,4
New Haven,Northeast 10,2024,8,3,8,1
Bentley,Northeast 10,2024,8,2,7,2
Charleston Southern,Big South-OVC,2024,1,11,0,8
Beloit,Midwest,2024,1,9,1,8
Fayetteville State,CIAA,2024,4,5,3,4
Kings College (PA),Mid Atlantic,2024,10,2,9,0
University of Rochester (NY),Liberty League,2024,6,4,2,4
Capital,Ohio,2024,1,9,1,8
Colorado State,Mountain West,2024,8,5,6,1
Middle Tennessee,Conference USA,2024,3,9,2,6
Chattanooga,Southern,2024,7,5,5,3
Washington & Jefferson,Presidents',2024,9,2,9,1
Anna Maria College,ECFC,2024,4,4,2,1
Lake Erie,Great Midwest Athletic,2024,2,9,1,8
Northwestern State,Southland,2024,0,12,0,7
Miami (OH),Mid-American,2024,9,5,7,2
Carthage,CCIW,2024,2,8,2,7
Mercyhurst,NEC,2024,4,7,1,3
Reading,Mid Atlantic,2024,1,9,1,8
Carroll University (WI),CCIW,2024,5,5,4,5
Kalamazoo,Michigan,2024,4,6,1,6
Averett,Old Dominion,2024,3,7,1,7
Keystone,Landmark Conference,2024,1,9,0,6
Lewis & Clark College,Northwest,2024,5,5,5,4
Hawai'i,Mountain West,2024,5,7,3,4
Alfred University,Empire 8,2024,7,3,5,2
Kentucky Wesleyan,Great Midwest Athletic,2024,2,9,1,8
Oberlin,North Coast,2024,1,9,1,7
Maine,CAA,2024,5,7,3,5
Southern Nazarene,Great American,2024,3,8,3,8
Limestone,South Atlantic,2024,8,3,7,2
Oklahoma State,Big 12,2024,3,9,0,9
Southwest Minnesota State,Northern Sun,2024,0,11,0,10
South Alabama,Sun Belt,2024,7,6,5,3
Southern,SWAC,2024,8,5,7,3
Slippery Rock,Pennsylvania State Athletic,2024,12,2,10,1
Depauw,North Coast,2024,11,1,8,0
Georgia Tech,ACC,2024,7,6,5,3
Merchant Marine Academy,NEWMAC,2024,5,4,3,4
Duke,ACC,2024,9,4,5,3
Hamilton,NESCAC,2024,1,8,1,8
Minnesota,Big Ten,2024,8,5,5,4
Temple,American Athletic,2024,3,9,2,6
Bloomsburg,Pennsylvania State Athletic,2024,6,5,5,5
Bemidji State,Northern Sun,2024,10,4,7,4
Presbyterian,Pioneer,2024,6,6,4,4
Sioux Falls,Northern Sun,2024,8,3,7,3
Husson,Commonwealth Coast,2024,6,4,3,2
Idaho State,Big Sky,2024,5,7,3,5
Pennsylvania,Ivy,2024,4,6,2,5
North Texas,American Athletic,2024,6,7,3,5
Chapman,So. Cal.,2024,7,3,6,2
Concordia University Chicago,NACC,2024,2,8,1,7
Heidelberg,Ohio,2024,5,5,4,5
Campbell,CAA,2024,3,9,1,7
Missouri Southern State,Mid America,2024,2,9,1,8
Hampden-Sydney,Old Dominion,2024,5,5,3,4
San José State,Mountain West,2024,7,6,3,4
Texas Southern,SWAC,2024,5,6,4,4
Michigan Tech,GLIAC,2024,7,4,4,3
Alabama,SEC,2024,9,4,5,3
Arizona,Big 12,2024,4,8,2,7
Jacksonville State,Conference USA,2024,9,5,8,1
Johnson C Smith,CIAA,2024,8,2,6,2
Adams State,Rocky Mountain,2024,0,11,0,9
Tennessee,SEC,2024,10,3,6,2
Air Force,Mountain West,2024,5,7,3,4
Dean College,ECFC,2024,0,8,0,3
Davidson,Pioneer,2024,6,5,4,4
Lafayette,Patriot,2024,6,6,2,4
Arkansas,SEC,2024,7,6,3,5
Northwestern Oklahoma State,Great American,2024,2,9,2,9
Washington University (St. Louis),CCIW,2024,8,2,7,2
Apprentice School,Independent DIII,2024,2,2,1,0
Findlay,Great Midwest Athletic,2024,9,2,7,2
South Dakota State,MVFC,2024,12,3,7,2
Augustana (IL),CCIW,2024,4,6,3,6
Stevenson,Mid Atlantic,2024,5,5,5,4
Navy,American Athletic,2024,10,3,7,2
Northwest Missouri St,Mid America,2024,6,5,5,4
St. Anselm,Northeast 10,2024,5,5,5,4
Stetson,Pioneer,2024,2,9,0,7
Army,American Athletic,2024,12,2,9,1
North Central College,CCIW,2024,15,0,9,0
Brockport,Empire 8,2024,7,3,5,2
Hardin-Simmons,American Southwest,2024,10,1,6,1
Tulane,American Athletic,2024,9,5,7,2
Toledo,Mid-American,2024,8,5,4,4
Rensselaer,Liberty League,2024,5,5,3,3
College Of New Jersey,New Jersey,2024,6,4,3,3
Bethune-Cookman,SWAC,2024,2,10,2,6
Georgia Southern,Sun Belt,2024,8,5,6,2
John Carroll University,Ohio,2024,9,3,8,2
Texas A&M-Kingsville,Lone Star,2024,7,4,6,3
Louisiana,Sun Belt,2024,10,4,7,2
Delaware Valley,Mid Atlantic,2024,8,2,7,2
Macalester,Minnesota,2024,0,10,0,8
Rowan,New Jersey,2024,6,4,4,2
Central Oklahoma,Mid America,2024,11,2,8,1
Amherst,NESCAC,2024,2,7,2,7
Sacramento State,Big Sky,2024,3,9,1,7
Ursinus,Centennial,2024,9,2,5,1
Assumption,Northeast 10,2024,6,4,6,3
Syracuse,ACC,2024,10,3,5,3
Indiana-Pennsylvania,Pennsylvania State Athletic,2024,7,3,6,3
Oklahoma Panhandle St,Independent DII,2024,0,1,0,0
Murray State,MVFC,2024,1,11,0,8
Notre Dame,FBS Independents,2024,14,2,0,0
Dartmouth,Ivy,2024,8,2,5,2
Princeton,Ivy,2024,3,7,2,5
Winona State,Northern Sun,2024,5,6,5,5
Lindenwood,Big South-OVC,2024,5,7,4,4
Carnegie Mellon,Presidents',2024,10,2,9,1
Midwestern State,Lone Star,2024,4,7,3,6
Saginaw Valley State,GLIAC,2024,7,4,4,3
LYONCOLL,Southern Collegiate Athletic,2024,1,9,0,8
Gallaudet,ECFC,2024,3,4,2,1
St. Lawrence,Liberty League,2024,3,6,2,4
West Florida,Gulf South,2024,7,3,6,2
Robert Morris,NEC,2024,7,5,5,2
Memphis,American Athletic,2024,11,2,6,2
Mississippi State,SEC,2024,2,10,0,8
Lakeland,NACC,2024,4,5,4,4
Wayne State (MI),GLIAC,2024,2,9,2,5
Western Connecticut St,MSCAC,2024,8,2,8,1
Boise State,Mountain West,2024,12,2,8,0
Texas A&M,SEC,2024,8,5,5,3
Tennessee Tech,Big South-OVC,2024,7,5,6,2
Wisconsin-Stevens Pt,Wisconsin,2024,1,9,0,7
Wesleyan University (CT),NESCAC,2024,8,1,8,1
Middlebury,NESCAC,2024,6,3,6,3
Illinois Wesleyan,CCIW,2024,5,5,5,4
North Carolina A&T,CAA,2024,1,11,0,8
Truman State,Great Lakes,2024,7,4,6,2
Savannah St,SIAC,2024,5,5,4,4
Houston Christian,Southland,2024,5,7,3,4
Alabama State,SWAC,2024,7,5,5,3
McMurry,Southern Collegiate Athletic,2024,7,3,7,1
Utah Tech,UAC,2024,1,11,1,7
Northwestern (MN),Upper Midwest,2024,7,4,7,0
Montana State,Big Sky,2024,15,1,9,0
Gannon,Pennsylvania State Athletic,2024,3,7,3,6
Arkansas State,Sun Belt,2024,8,5,5,3
Villanova,CAA,2024,10,4,6,2
Austin,Southern Collegiate Athletic,2024,2,8,2,6
Adrian,Michigan,2024,6,4,3,4
Wartburg,American Rivers,2024,10,2,8,0
Wisconsin-Whitewater,Wisconsin,2024,6,4,4,3
Harding University,Great American,2024,12,2,10,1
Lagrange College,USA South,2024,6,4,6,2
Wisconsin-Oshkosh,Wisconsin,2024,6,4,4,3
Mars Hill,South Atlantic,2024,5,4,5,3
Hiram College,North Coast,2024,0,9,0,7
Arkansas Tech,Great American,2024,5,6,5,6
Rutgers,Big Ten,2024,7,6,4,5
Berry College,Southern Athletic,2024,8,3,6,1
Cortland,Empire 8,2024,11,1,7,0
Tennessee State,Big South-OVC,2024,9,4,6,2
Kennesaw State,Conference USA,2024,2,10,2,6
Gettysburg,Centennial,2024,2,8,1,5
Western Colorado,Rocky Mountain,2024,11,2,8,1
SMU,ACC,2024,11,3,8,1
Concordia University St Paul,Northern Sun,2024,2,9,2,8
UVA Wise,South Atlantic,2024,4,6,3,5
East Texas Baptist University,American Southwest,2024,5,4,2,4
Shippensburg,Pennsylvania State Athletic,2024,2,9,2,8
Northern Michigan,GLIAC,2024,0,11,0,7
Glenville State,Mountain East,2024,7,4,7,2
