school,talent,year
,1018.28,2024
,1006.89,2024
,998.62,2024
,953.95,2024
,924.63,2024
,916.71,2024
,914.52,2024
,906.61,2024
,906.19,2024
,905.52,2024
,895.31,2024
,894.24,2024
,879.48,2024
,868.15,2024
,863.09,2024
,859.21,2024
,858.67,2024
,833.61,2024
,807.36,2024
,801.66,2024
,798.18,2024
,794.99,2024
,790.42,2024
,788.36,2024
,788.22,2024
,779.17,2024
,771.35,2024
,766.5,2024
,758.87,2024
,757.02,2024
,749.16,2024
,746.3,2024
,745.21,2024
,743.77,2024
,741.11,2024
,739.28,2024
,738.93,2024
,732.07,2024
,723.51,2024
,722.41,2024
,721.75,2024
,719.43,2024
,713.74,2024
,709.46,2024
,705.22,2024
,703.0,2024
,702.38,2024
,698.59,2024
,696.92,2024
,695.96,2024
,695.59,2024
,695.42,2024
,687.76,2024
,684.9,2024
,675.78,2024
,672.7,2024
,668.92,2024
,667.91,2024
,663.55,2024
,662.34,2024
,662.28,2024
,654.07,2024
,653.75,2024
,651.75,2024
,648.28,2024
,646.7,2024
,644.36,2024
,642.12,2024
,641.02,2024
,635.89,2024
,635.45,2024
,633.44,2024
,626.97,2024
,611.66,2024
,610.54,2024
,608.95,2024
,608.26,2024
,602.46,2024
,595.42,2024
,592.16,2024
,587.22,2024
,585.57,2024
,583.23,2024
,575.31,2024
,575.16,2024
,573.27,2024
,571.92,2024
,569.65,2024
,568.31,2024
,565.51,2024
,564.88,2024
,557.61,2024
,556.71,2024
,554.77,2024
,553.39,2024
,547.19,2024
,546.04,2024
,543.56,2024
,540.17,2024
,538.4,2024
,537.91,2024
,537.82,2024
,533.72,2024
,532.46,2024
,527.99,2024
,525.22,2024
,518.88,2024
,513.7,2024
,508.73,2024
,505.3,2024
,504.39,2024
,503.43,2024
,499.56,2024
,488.03,2024
,484.51,2024
,480.29,2024
,467.22,2024
,464.59,2024
,464.07,2024
,459.14,2024
,455.97,2024
,455.45,2024
,450.55,2024
,437.2,2024
,435.3,2024
,435.22,2024
,430.94,2024
,428.91,2024
,370.2,2024
,329.43,2024
,288.14,2024
,0.0,2024
,0.0,2024
,0.0,2024
,1002.98,2025
,993.55,2025
,973.69,2025
,973.54,2025
,941.22,2025
,920.05,2025
,918.43,2025
,917.29,2025
,912.11,2025
,910.42,2025
,907.22,2025
,898.58,2025
,891.84,2025
,882.59,2025
,874.57,2025
,866.57,2025
,847.53,2025
,833.26,2025
,828.45,2025
,821.39,2025
,813.11,2025
,804.77,2025
,772.64,2025
,770.48,2025
,766.67,2025
,766.62,2025
,763.18,2025
,763.17,2025
,757.49,2025
,755.2,2025
,753.2,2025
,745.01,2025
,738.52,2025
,727.83,2025
,726.3,2025
,726.21,2025
,720.56,2025
,717.42,2025
,715.56,2025
,712.19,2025
,711.04,2025
,710.0,2025
,709.99,2025
,707.86,2025
,707.51,2025
,707.27,2025
,705.85,2025
,705.32,2025
,702.74,2025
,700.77,2025
,700.54,2025
,699.31,2025
,689.22,2025
,687.74,2025
,685.42,2025
,681.21,2025
,677.97,2025
,669.18,2025
,668.63,2025
,667.99,2025
,666.89,2025
,666.74,2025
,662.33,2025
,662.13,2025
,662.09,2025
,656.74,2025
,651.62,2025
,650.87,2025
,650.12,2025
,649.36,2025
,648.93,2025
,645.34,2025
,644.1,2025
,627.16,2025
,620.13,2025
,612.16,2025
,611.97,2025
,611.55,2025
,611.31,2025
,610.88,2025
,610.65,2025
,605.22,2025
,602.53,2025
,599.12,2025
,594.78,2025
,594.27,2025
,592.1,2025
,591.27,2025
,590.64,2025
,586.84,2025
,585.82,2025
,583.71,2025
,574.48,2025
,572.9,2025
,569.46,2025
,569.15,2025
,568.12,2025
,562.61,2025
,561.87,2025
,561.36,2025
,551.88,2025
,544.87,2025
,540.93,2025
,537.21,2025
,534.35,2025
,530.06,2025
,527.31,2025
,526.3,2025
,522.91,2025
,520.55,2025
,519.93,2025
,513.33,2025
,507.91,2025
,503.59,2025
,495.35,2025
,493.5,2025
,489.33,2025
,488.73,2025
,488.69,2025
,481.2,2025
,481.16,2025
,477.45,2025
,477.35,2025
,473.34,2025
,471.01,2025
,469.99,2025
,459.53,2025
,456.24,2025
,426.1,2025
,402.9,2025
,378.8,2025
,338.87,2025
,242.85,2025
,23.66,2025
