espn_id,name,first_name,last_name,position,jersey,height,weight,class_year,team,team_id,headshot_url,profile_url
4426568,Langston Anderson,Langston,Anderson,WR,18,"6' 1""",195.0,Senior,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/4426568.png,https://www.espn.com/college-football/player/_/id/4426568
5231159,Brelon Badon,Brelon,Badon,WR,85,"5' 10""",165.0,Freshman,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/5231159.png,https://www.espn.com/college-football/player/_/id/5231159
5231153,Raydrian Baltrip,Raydrian,Baltrip,WR,14,"5' 8""",160.0,Freshman,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/5231153.png,https://www.espn.com/college-football/player/_/id/5231153
5083553,Rovaughn Banks Jr.,Rovaughn,Banks Jr.,RB,3,"5' 8""",200.0,Junior,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/5083553.png,https://www.espn.com/college-football/player/_/id/5083553
5226080,John David Black,John David,Black,QB,9,"6' 2""",190.0,Freshman,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/5226080.png,https://www.espn.com/college-football/player/_/id/5226080
4880987,Kaden Carr,Kaden,Carr,OL,54,"6' 6""",285.0,Sophomore,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/4880987.png,https://www.espn.com/college-football/player/_/id/4880987
4682792,Jed Castles,Jed,Castles,TE,88,"6' 7""",245.0,Senior,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/4682792.png,https://www.espn.com/college-football/player/_/id/4682792
5231157,Deonte Dean,Deonte,Dean,RB,21,"5' 11""",195.0,Freshman,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/5231157.png,https://www.espn.com/college-football/player/_/id/5231157
5081934,Dallas Dudley,Dallas,Dudley,WR,13,"6' 2""",195.0,Junior,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/5081934.png,https://www.espn.com/college-football/player/_/id/5081934
4691272,Stone Earle,Stone,Earle,QB,4,"6' 0""",215.0,Senior,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/4691272.png,https://www.espn.com/college-football/player/_/id/4691272
5163481,Luke Farr,Luke,Farr,OL,71,"6' 6""",280.0,Freshman,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/5163481.png,https://www.espn.com/college-football/player/_/id/5163481
4610570,Cade Fennegan,Cade,Fennegan,QB,6,"6' 2""",190.0,Senior,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/4610570.png,https://www.espn.com/college-football/player/_/id/4610570
5083562,Joziah Fogle,Joziah,Fogle,OL,76,"6' 3""",310.0,Senior,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/5083562.png,https://www.espn.com/college-football/player/_/id/5083562
4662406,Javon Gipson,Javon,Gipson,WR,7,"6' 4""",215.0,Senior,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/4662406.png,https://www.espn.com/college-football/player/_/id/4662406
4683917,River Gordon,River,Gordon,C,72,"6' 3""",310.0,Senior,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/4683917.png,https://www.espn.com/college-football/player/_/id/4683917
4869083,Hut Graham,Hut,Graham,WR,2,"6' 1""",200.0,Junior,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/4869083.png,https://www.espn.com/college-football/player/_/id/4869083
4682787,Quayde Hawkins,Quayde,Hawkins,QB,12,"6' 1""",210.0,Senior,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/4682787.png,https://www.espn.com/college-football/player/_/id/4682787
5089179,Bryan Henry,Bryan,Henry,TE,87,"6' 2""",250.0,Junior,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/5089179.png,https://www.espn.com/college-football/player/_/id/5089179
4683536,J.J. Henry,J.J.,Henry,WR,1,"5' 10""",160.0,Senior,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/4683536.png,https://www.espn.com/college-football/player/_/id/4683536
4900925,Jeshari Houston,Jeshari,Houston,WR,8,"5' 10""",185.0,Senior,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/4900925.png,https://www.espn.com/college-football/player/_/id/4900925
5301907,Nathan Humphrey,Nathan,Humphrey,OL,67,"6' 4""",295.0,Freshman,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/5301907.png,https://www.espn.com/college-football/player/_/id/5301907
4680029,B.K. Jackson,B.K.,Jackson,RB,20,"5' 11""",215.0,Senior,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/4680029.png,https://www.espn.com/college-football/player/_/id/4680029
5231166,Grant Jones,Grant,Jones,WR,81,"6' 0""",195.0,Freshman,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/5231166.png,https://www.espn.com/college-football/player/_/id/5231166
4899668,Nathan Jones,Nathan,Jones,TE,83,"6' 5""",250.0,Junior,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/4899668.png,https://www.espn.com/college-football/player/_/id/4899668
5083565,Chidubem Lebechi,Chidubem,Lebechi,TE,86,"6' 2""",245.0,Junior,Abilene Christian Wildcats,2000,https://a.espncdn.com/i/headshots/college-football/players/full/5083565.png,https://www.espn.com/college-football/player/_/id/5083565
