name,school,position,nil_valuation,nil_rank,conference,class_year,hometown,height,weight,instagram_followers,twitter_followers,tiktok_followers,recruiting_stars,recruiting_rank,composite_rating,profile_url,scraped_at
Arch Manning,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 99.5258064516129, 'consensusStars': 5, 'consensusNationalRank': 1, 'consensusPositionRank': 1, 'consensusStateRank': 1, 'key': 2459, 'rating': 99.5258064516129, 'stars': 5, 'nationalRank': 1, 'positionRank': 1, 'stateRank': 1, 'positionAbbr': 'QB', 'stateAbbr': 'LA', 'fiveStarPlus': True}",,2026-02-02T20:58:04.721362
AJ Dybantsa,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 99.7334677419355, 'consensusStars': 5, 'consensusNationalRank': 1, 'consensusPositionRank': 1, 'consensusStateRank': 1, 'key': 113585, 'rating': 99.7334677419355, 'stars': 5, 'nationalRank': 1, 'positionRank': 1, 'stateRank': 1, 'positionAbbr': 'SF', 'stateAbbr': 'UT', 'fiveStarPlus': True}",,2026-02-02T20:58:04.722524
Jeremiah Smith,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 99.61266129032258, 'consensusStars': 5, 'consensusNationalRank': 1, 'consensusPositionRank': 1, 'consensusStateRank': 1, 'key': 103786, 'rating': 99.61266129032258, 'stars': 5, 'nationalRank': 1, 'positionRank': 1, 'stateRank': 1, 'positionAbbr': 'WR', 'stateAbbr': 'FL', 'fiveStarPlus': True}",,2026-02-02T20:58:04.722572
Sam Leavitt,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 89.49021739130434, 'consensusStars': 4, 'consensusNationalRank': 381, 'consensusPositionRank': 24, 'consensusStateRank': 1, 'key': 66926, 'rating': 89.49021739130434, 'stars': 4, 'nationalRank': 381, 'positionRank': 24, 'stateRank': 1, 'positionAbbr': 'QB', 'stateAbbr': 'OR', 'fiveStarPlus': False}",,2026-02-02T20:58:04.722613
Brendan Sorsby,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 82.98636363636363, 'consensusStars': 3, 'consensusNationalRank': 1357, 'consensusPositionRank': 83, 'consensusStateRank': 203, 'key': 79007, 'rating': 82.98636363636363, 'stars': 3, 'nationalRank': 1357, 'positionRank': 83, 'stateRank': 203, 'positionAbbr': 'QB', 'stateAbbr': 'TX', 'fiveStarPlus': False}",,2026-02-02T20:58:04.722649
Bryce Underwood,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 99.8691935483871, 'consensusStars': 5, 'consensusNationalRank': 1, 'consensusPositionRank': 1, 'consensusStateRank': 1, 'key': 93024, 'rating': 99.8691935483871, 'stars': 5, 'nationalRank': 1, 'positionRank': 1, 'stateRank': 1, 'positionAbbr': 'QB', 'stateAbbr': 'MI', 'fiveStarPlus': True}",,2026-02-02T20:58:04.722685
Dante Moore,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 99.22137096774195, 'consensusStars': 5, 'consensusNationalRank': 3, 'consensusPositionRank': 2, 'consensusStateRank': 1, 'key': 2472, 'rating': 99.22137096774195, 'stars': 5, 'nationalRank': 3, 'positionRank': 2, 'stateRank': 1, 'positionAbbr': 'QB', 'stateAbbr': 'MI', 'fiveStarPlus': True}",,2026-02-02T20:58:04.722722
JT Toppin,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 90.8621195652174, 'consensusStars': 3, 'consensusNationalRank': 133, 'consensusPositionRank': 27, 'consensusStateRank': 11, 'key': 88991, 'rating': 90.8621195652174, 'stars': 3, 'nationalRank': 133, 'positionRank': 27, 'stateRank': 11, 'positionAbbr': 'PF', 'stateAbbr': 'TX', 'fiveStarPlus': False}",,2026-02-02T20:58:04.722759
Cam Coleman,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 99.22225806451614, 'consensusStars': 5, 'consensusNationalRank': 4, 'consensusPositionRank': 2, 'consensusStateRank': 1, 'key': 104554, 'rating': 99.22225806451614, 'stars': 5, 'nationalRank': 4, 'positionRank': 2, 'stateRank': 1, 'positionAbbr': 'WR', 'stateAbbr': 'AL', 'fiveStarPlus': True}",,2026-02-02T20:58:04.722794
LaNorris Sellers,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 91.12853260869566, 'consensusStars': 4, 'consensusNationalRank': 254, 'consensusPositionRank': 18, 'consensusStateRank': 4, 'key': 2605, 'rating': 91.12853260869566, 'stars': 4, 'nationalRank': 254, 'positionRank': 18, 'stateRank': 4, 'positionAbbr': 'QB', 'stateAbbr': 'SC', 'fiveStarPlus': False}",,2026-02-02T20:58:04.722836
