player_name,position,school,conference,custom_nil_value,nil_tier,valuation_confidence,performance_value,market_value,potential_value,passing_yards,passing_tds,rushing_yards,rushing_tds,receiving_yards,receiving_tds,tackles,sacks,interceptions,recruiting_stars,national_rank
Keelon Russell,QB,Alabama,SEC,1050000,mega,low,250000.0,750000.0,300000.0,143.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2.0
Arch Manning,QB,Texas,SEC,1050000,mega,low,250000.0,750000.0,300000.0,3163.0,26.0,399.0,10.0,4.0,1.0,0.0,0.0,0.0,5,1.0
Tavien St. Clair,QB,Ohio State,Big Ten,1050000,mega,low,250000.0,750000.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,7.0
Julian Sayin,QB,Ohio State,Big Ten,1050000,mega,low,250000.0,750000.0,300000.0,3610.0,32.0,-44.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6.0
Ty Simpson,QB,Alabama,SEC,1000000,mega,low,250000.0,750000.0,250000.0,3567.0,28.0,93.0,2.0,0.0,0.0,0.0,0.0,0.0,5,26.0
Bryce Underwood,QB,Michigan,Big Ten,925000,premium,low,250000.0,625000.0,300000.0,2428.0,11.0,392.0,6.0,0.0,0.0,1.0,0.0,0.0,5,1.0
Sam Huard,QB,USC,Big Ten,875000,premium,low,250000.0,625000.0,250000.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,12.0
Cade Klubnik,QB,Clemson,ACC,875000,premium,low,250000.0,575000.0,300000.0,2943.0,16.0,94.0,4.0,0.0,0.0,0.0,0.0,0.0,5,6.0
Husan Longstreet,QB,USC,Big Ten,875000,premium,low,250000.0,625000.0,250000.0,103.0,1.0,76.0,2.0,0.0,0.0,0.0,0.0,0.0,5,25.0
Dante Moore,QB,Oregon,Big Ten,850000,premium,low,250000.0,550000.0,300000.0,3565.0,30.0,156.0,2.0,0.0,0.0,0.0,0.0,0.0,5,4.0
Lincoln Kienholz,QB,Ohio State,Big Ten,800000,premium,low,250000.0,750000.0,50000.0,139.0,1.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0,4,194.0
Austin Mack,QB,Alabama,SEC,800000,premium,low,250000.0,750000.0,50000.0,228.0,2.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,4,230.0
Karle Lacey Jr.,QB,Texas,SEC,800000,premium,low,250000.0,750000.0,50000.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,156.0
John Gazzaniga,QB,Alabama,SEC,760000,premium,low,250000.0,750000.0,10000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1915.0
Cade Carruth,QB,Alabama,SEC,750000,premium,low,250000.0,750000.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9999.0
Ryan Montgomery,QB,Georgia,SEC,750000,premium,low,250000.0,700000.0,50000.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,132.0
Ryan Puglisi,QB,Georgia,SEC,750000,premium,low,250000.0,700000.0,50000.0,161.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,4,114.0
