name,school,position,nil_valuation,nil_rank,conference,class_year,hometown,height,weight,instagram_followers,twitter_followers,tiktok_followers,recruiting_stars,recruiting_rank,composite_rating,profile_url,scraped_at
Arch Manning,Unknown,QB,5440974,1,,,,,,512477,,,5.0,,99.5258064516129,https://www.on3.com/db/arch-manning-7353/,2026-02-02T22:21:10.273410
AJ Dybantsa,Unknown,SF,4206384,2,,,,,,834800,,,5.0,,99.7334677419355,https://www.on3.com/db/aj-dybantsa-156943/,2026-02-02T22:21:10.273438
Jeremiah Smith,Unknown,WR,4199730,3,,,,,,874135,,,5.0,,99.61266129032258,https://www.on3.com/db/jeremiah-smith-60214/,2026-02-02T22:21:10.273443
Sam Leavitt,Unknown,QB,4029364,4,,,,,,39580,,,4.0,,89.49021739130434,https://www.on3.com/db/sam-leavitt-104361/,2026-02-02T22:21:10.273446
Brendan Sorsby,Unknown,QB,3074907,5,,,,,,8460,,,3.0,,82.98636363636363,https://www.on3.com/db/brendan-sorsby-13764/,2026-02-02T22:21:10.273451
Bryce Underwood,Unknown,QB,3056431,6,,,,,,312484,,,5.0,,99.8691935483871,https://www.on3.com/db/bryce-underwood-15949/,2026-02-02T22:21:10.273454
Dante Moore,Unknown,QB,2994313,7,,,,,,69195,,,5.0,,99.22137096774195,https://www.on3.com/db/dante-moore-29804/,2026-02-02T22:21:10.273457
JT Toppin,Unknown,PF,2949102,8,,,,,,18420,,,3.0,,90.8621195652174,https://www.on3.com/db/jt-toppin-155447/,2026-02-02T22:21:10.273459
Cam Coleman,Unknown,WR,2860981,9,,,,,,65481,,,5.0,,99.22225806451614,https://www.on3.com/db/cam-coleman-154787/,2026-02-02T22:21:10.273462
LaNorris Sellers,Unknown,QB,2715179,10,,,,,,74591,,,4.0,,91.12853260869566,https://www.on3.com/db/lanorris-sellers-145821/,2026-02-02T22:21:10.273465
Drew Mestemaker,Unknown,Unknown,2489858,11,,,,,,7338,,,,,,https://www.on3.com/db/drew-mestemaker-269959/,2026-02-02T22:21:10.273469
Dylan Stewart,Unknown,EDGE,2479022,12,,,,,,38923,,,5.0,,98.31854838709678,https://www.on3.com/db/dylan-stewart-147687/,2026-02-02T22:21:10.273472
Julian Sayin,Unknown,QB,2393862,13,,,,,,66734,,,5.0,,98.60774193548386,https://www.on3.com/db/julian-sayin-68682/,2026-02-02T22:21:10.273475
Josh Hoover,Unknown,QB,2289390,14,,,,,,12958,,,3.0,,86.65,https://www.on3.com/db/josh-hoover-67226/,2026-02-02T22:21:10.273477
Cameron Boozer,Unknown,PF,2190090,15,,,,,,132919,,,5.0,,99.69314516129032,https://www.on3.com/db/cameron-boozer-150005/,2026-02-02T22:21:10.273480
Darian Mensah,Unknown,QB,2161001,16,,,,,,29381,,,3.0,,80.9090909090909,https://www.on3.com/db/darian-mensah-153939/,2026-02-02T22:21:10.273482
Jayden Maiava,Unknown,QB,2159056,17,,,,,,4360,,,3.0,,85.025,https://www.on3.com/db/jayden-maiava-58668/,2026-02-02T22:21:10.273485
Mason Heintschel,Unknown,QB,2141088,18,,,,,,1810,,,3.0,,87.74,https://www.on3.com/db/mason-heintschel-237555/,2026-02-02T22:21:10.273489
Yaxel Lendeborg,Unknown,Unknown,2095779,19,,,,,,46148,,,,,,https://www.on3.com/db/yaxel-lendeborg-174590/,2026-02-02T22:21:10.273491
CJ Bailey,Unknown,QB,2086187,20,,,,,,43117,,,3.0,,89.11,https://www.on3.com/db/cj-bailey-151582/,2026-02-02T22:21:10.273494
Morez Johnson,Unknown,PF,2083031,21,,,,,,22792,,,4.0,,96.77018847909287,https://www.on3.com/db/morez-johnson-147589/,2026-02-02T22:21:10.273496
Jayden Quaintance,Unknown,C,2015590,22,,,,,,6186,,,5.0,,98.87822580645162,https://www.on3.com/db/jayden-quaintance-159196/,2026-02-02T22:21:10.273499
John Mateer,Unknown,QB,1998245,23,,,,,,45747,,,3.0,,81.43409090909091,https://www.on3.com/db/john-mateer-63401/,2026-02-02T22:21:10.273503
Jackson Cantwell,Unknown,OT,1936045,24,,,,,,14885,,,5.0,,99.10161290322581,https://www.on3.com/db/jackson-cantwell-162632/,2026-02-02T22:21:10.273505
David Stone,Unknown,DL,1906501,25,,,,,,57374,,,5.0,,98.50693548387096,https://www.on3.com/db/david-stone-32134/,2026-02-02T22:21:10.273507
Malik Washington,Unknown,QB,1903719,26,,,,,,11994,,,4.0,,93.97978260869564,https://www.on3.com/db/malik-washington-153853/,2026-02-02T22:21:10.273510
Byrum Brown,Unknown,QB,1866346,27,,,,,,3111,,,3.0,,84.05,https://www.on3.com/db/byrum-brown-16332/,2026-02-02T22:21:10.273513
Jaron-Keawe Sagapolutele,Unknown,QB,1811056,28,,,,,,8143,,,4.0,,96.15399193548386,https://www.on3.com/db/jaron-keawe-sagapolutele-158482/,2026-02-02T22:21:10.273515
Braden Smith,Unknown,PG,1799114,29,,,,,,35298,,,3.0,,85.425,https://www.on3.com/db/braden-smith-11729/,2026-02-02T22:21:10.273518
Kingston Flemings,Unknown,PG,1683028,30,,,,,,8696,,,4.0,,97.5007722799344,https://www.on3.com/db/kingston-flemings-178202/,2026-02-02T22:21:10.273521
Jared Curtis,Unknown,QB,1681515,31,,,,,,26630,,,5.0,,98.98010752688172,https://www.on3.com/db/jared-curtis-159433/,2026-02-02T22:21:10.273523
Jordan Seaton,Unknown,OT,1664984,32,,,,,,79878,,,5.0,,98.31370967741935,https://www.on3.com/db/jordan-seaton-65999/,2026-02-02T22:21:10.273525
Tyran Stokes,Unknown,SF,1664451,33,,,,,,151268,,,5.0,,99.25,https://www.on3.com/db/tyran-stokes-174854/,2026-02-02T22:21:10.273528
Ryan Williams,Unknown,WR,1611211,34,,,,,,1225851,,,5.0,,98.97153225806451,https://www.on3.com/db/ryan-williams-152310/,2026-02-02T22:21:10.273536
Denzel Aberdeen,Unknown,CG,1600000,35,,,,,,0,,,3.0,,90.00156595431098,https://www.on3.com/db/denzel-aberdeen-147282/,2026-02-02T22:21:10.273540
Trinidad Chambliss,Unknown,Unknown,1593846,36,,,,,,0,,,,,,https://www.on3.com/db/trinidad-chambliss-250566/,2026-02-02T22:21:10.273543
Caleb Downs,Unknown,S,1568670,37,,,,,,300240,,,5.0,,99.0616935483871,https://www.on3.com/db/caleb-downs-16957/,2026-02-02T22:21:10.273546
Carson Beck,Unknown,QB,1564905,38,,,,,,166931,,,4.0,,91.27644927536232,https://www.on3.com/db/carson-beck-18711/,2026-02-02T22:21:10.273549
Colin Simmons,Unknown,EDGE,1544073,39,,,,,,189828,,,5.0,,98.36129032258064,https://www.on3.com/db/colin-simmons-25089/,2026-02-02T22:21:10.273551
Conner Weigman,Unknown,QB,1523027,40,,,,,,51084,,,5.0,,97.07705995792429,https://www.on3.com/db/conner-weigman-25459/,2026-02-02T22:21:10.273554
Flau'jae Johnson,Unknown,Unknown,1500772,41,,,,,,3717480,,,,,,https://www.on3.com/db/flaujae-johnson-162407/,2026-02-02T22:21:10.273556
Evan Stewart,Unknown,WR,0,42,,,,,,2408811,,,5.0,,98.4280767882188,https://www.on3.com/db/evan-stewart-43427/,2026-02-02T22:21:10.273560
Caleb Wilson,Unknown,PF,0,43,,,,,,21287,,,5.0,,99.35,https://www.on3.com/db/caleb-wilson-152845/,2026-02-02T22:21:10.273562
Darryn Peterson,Unknown,SG,0,44,,,,,,26568,,,5.0,,99.69314516129032,https://www.on3.com/db/darryn-peterson-156883/,2026-02-02T22:21:10.273565
Labaron Philon,Unknown,PG,0,45,,,,,,38451,,,4.0,,96.48831967456675,https://www.on3.com/db/labaron-philon-153504/,2026-02-02T22:21:10.273567
Bruce Branch III,Unknown,SF,0,46,,,,,,0,,,5.0,,98.33172043010752,https://www.on3.com/db/bruce-branch-iii-244995/,2026-02-02T22:21:10.273569
Caleb Holt,Unknown,SG,0,47,,,,,,33538,,,5.0,,98.6462365591398,https://www.on3.com/db/caleb-holt-174844/,2026-02-02T22:21:10.273572
Princewill Umanmielen,Unknown,EDGE,0,48,,,,,,5189,,,4.0,,91.50217391304348,https://www.on3.com/db/princewill-umanmielen-147578/,2026-02-02T22:21:10.273576
Rocco Becht,Unknown,QB,0,49,,,,,,26881,,,3.0,,87.30597826086957,https://www.on3.com/db/rocco-becht-101459/,2026-02-02T22:21:10.273579
Jaden Bradley,Unknown,PG,0,50,,,,,,33934,,,4.0,,97.50702227993439,https://www.on3.com/db/jaden-bradley-52576/,2026-02-02T22:21:10.273581
Noah Fifita,Unknown,QB,0,51,,,,,,29648,,,3.0,,87.85,https://www.on3.com/db/noah-fifita-93597/,2026-02-02T22:21:10.273584
Jeremy Fears,Unknown,PG,0,52,,,,,,64832,,,4.0,,95.95607914160745,https://www.on3.com/db/jeremy-fears-60371/,2026-02-02T22:21:10.273586
CJ Carr,Unknown,QB,0,53,,,,,,35240,,,4.0,,95.30059782608696,https://www.on3.com/db/cj-carr-23576/,2026-02-02T22:21:10.273589
Duce Robinson,Unknown,TE,0,54,,,,,,20119,,,5.0,,97.47824333800841,https://www.on3.com/db/duce-robinson-39307/,2026-02-02T22:21:10.273591
Nate Ament,Unknown,SF,0,55,,,,,,14250,,,5.0,,99.43588709677421,https://www.on3.com/db/nate-ament-162087/,2026-02-02T22:21:10.273594
Bryce James,Unknown,SG,0,56,,,,,,3420500,,,3.0,,85.75,https://www.on3.com/db/bryce-james-157726/,2026-02-02T22:21:10.273597
Ryan Wingo,Unknown,WR,0,57,,,,,,39685,,,4.0,,96.6979347826087,https://www.on3.com/db/ryan-wingo-103907/,2026-02-02T22:21:10.273599
Malachi Toney,Unknown,WR,0,58,,,,,,136392,,,3.0,,89.33717391304349,https://www.on3.com/db/malachi-toney-158769/,2026-02-02T22:21:10.273602
Dylan Raiola,Unknown,QB,0,59,,,,,,200433,,,5.0,,98.22541199158486,https://www.on3.com/db/dylan-raiola-147035/,2026-02-02T22:21:10.273604
Chaz Coleman,Unknown,EDGE,0,60,,,,,,0,,,4.0,,91.90472826086956,https://www.on3.com/db/chaz-coleman-242875/,2026-02-02T22:21:10.273607
Dylan Mingo,Unknown,PG,0,61,,,,,,5924,,,5.0,,98.56397849462365,https://www.on3.com/db/dylan-mingo-179195/,2026-02-02T22:21:10.273611
Keelon Russell,Unknown,QB,0,62,,,,,,60705,,,5.0,,99.61959677419355,https://www.on3.com/db/keelon-russell-176648/,2026-02-02T22:21:10.273614
Damon Wilson II,Unknown,EDGE,0,63,,,,,,23690,,,5.0,,97.58854312762975,https://www.on3.com/db/damon-wilson-ii-28748/,2026-02-02T22:21:10.273617
Mark Bowman,Unknown,TE,0,64,,,,,,6124,,,5.0,,96.86014492753623,https://www.on3.com/db/mark-bowman-238497/,2026-02-02T22:21:10.273619
Howard Sampson,Unknown,OT,0,65,,,,,,11254,,,0.0,,,https://www.on3.com/db/howard-sampson-150534/,2026-02-02T22:21:10.273622
Gunner Stockton,Unknown,QB,0,66,,,,,,41338,,,4.0,,93.1070652173913,https://www.on3.com/db/gunner-stockton-47246/,2026-02-02T22:21:10.273625
Anthony Thompson,Unknown,SF,0,67,,,,,,2083,,,5.0,,98.46559139784947,https://www.on3.com/db/anthony-thompson-241015/,2026-02-02T22:21:10.273628
Bear Alexander,Unknown,DL,0,68,,,,,,42590,,,4.0,,96.33238078541373,https://www.on3.com/db/bear-alexander-9456/,2026-02-02T22:21:10.273630
Keaton Wagler,Unknown,SG,0,69,,,,,,3603,,,3.0,,87.58967391304348,https://www.on3.com/db/keaton-wagler-244210/,2026-02-02T22:21:10.273633
Carter Smith,Unknown,OT,0,70,,,,,,5325,,,3.0,,86.94972826086956,https://www.on3.com/db/carter-smith-18942/,2026-02-02T22:21:10.273636
Chris Cenac,Unknown,PF,0,71,,,,,,14198,,,5.0,,99.32983870967742,https://www.on3.com/db/chris-cenac-236267/,2026-02-02T22:21:10.273638
PJ Haggerty,Unknown,CG,0,72,,,,,,5258,,,3.0,,89.2578804347826,https://www.on3.com/db/pj-haggerty-96721/,2026-02-02T22:21:10.273640
Mikel Brown Jr.,Unknown,PG,0,73,,,,,,49903,,,5.0,,99.00403225806453,https://www.on3.com/db/mikel-brown-jr-158520/,2026-02-02T22:21:10.273643
Drew Allar,Unknown,QB,0,74,,,,,,147705,,,5.0,,97.14654628330996,https://www.on3.com/db/drew-allar-38915/,2026-02-02T22:21:10.273646
Deron Rippey Jr.,Unknown,PG,0,75,,,,,,3324,,,5.0,,98.43870967741935,https://www.on3.com/db/deron-rippey-jr-180966/,2026-02-02T22:21:10.273649
Cayden Green,Unknown,OT,0,76,,,,,,20349,,,4.0,,94.38532608695652,https://www.on3.com/db/cayden-green-19225/,2026-02-02T22:21:10.273651
Hansel Enmanuel,Unknown,CG,0,77,,,,,,4406266,,,3.0,,83.0,https://www.on3.com/db/hansel-enmanuel-150021/,2026-02-02T22:21:10.273653
Kai Trump,Unknown,Unknown,0,78,,,,,,5408564,,,,,,https://www.on3.com/db/kai-trump-247684/,2026-02-02T22:21:10.273657
Jacarrius Peak,Unknown,OT,0,79,,,,,,16807,,,4.0,,89.05815217391304,https://www.on3.com/db/jacarrius-peak-147253/,2026-02-02T22:21:10.273660
DJ Lagway,Unknown,QB,0,80,,,,,,158925,,,5.0,,99.2258870967742,https://www.on3.com/db/dj-lagway-34744/,2026-02-02T22:21:10.273663
Matayo Uiagalelei,Unknown,DL,0,81,,,,,,42371,,,4.0,,96.57343969144462,https://www.on3.com/db/matayo-uiagalelei-84974/,2026-02-02T22:21:10.273665
Tyler Tanner,Unknown,PG,0,82,,,,,,5223,,,3.0,,83.70380434782608,https://www.on3.com/db/tyler-tanner-236018/,2026-02-02T22:21:10.273668
