name,school,position,nil_valuation,nil_rank,class_year,recruiting_stars,followers,profile_url,headshot_url
Arch Manning,Texas Longhorns,QB,5440974.0,1,Senior,5.0,512477,https://www.on3.com/db/arch-manning-7353/,https://on3static.com/uploads/assets/3/173/173003.jpeg
AJ Dybantsa,BYU Cougars,SF,4206384.0,2,Freshman,5.0,834800,https://www.on3.com/db/aj-dybantsa-156943/,https://on3static.com/uploads/assets/348/293/293348.jpg
Jeremiah Smith,Ohio State Buckeyes,WR,4199730.0,3,Junior,5.0,874135,https://www.on3.com/db/jeremiah-smith-60214/,https://on3static.com/uploads/assets/209/342/342209.jpeg
Sam Leavitt,LSU Tigers,QB,4029364.0,4,RedShirt Junior,4.0,39580,https://www.on3.com/db/sam-leavitt-104361/,https://on3static.com/uploads/assets/799/349/349799.jpg
Brendan Sorsby,Texas Tech Red Raiders,QB,3074907.0,5,RedShirt Senior,3.0,8460,https://www.on3.com/db/brendan-sorsby-13764/,https://on3static.com/uploads/assets/522/570/570522.png
Bryce Underwood,Michigan Wolverines,QB,3056431.0,6,Sophomore,5.0,312484,https://www.on3.com/db/bryce-underwood-15949/,https://on3static.com/uploads/assets/804/389/389804.jpg
Dante Moore,Oregon Ducks,QB,2994313.0,7,Senior,5.0,69195,https://www.on3.com/db/dante-moore-29804/,https://on3static.com/uploads/assets/495/245/245495.jpg
JT Toppin,Texas Tech Red Raiders,PF,2949102.0,8,Junior,3.0,18420,https://www.on3.com/db/jt-toppin-155447/,https://on3static.com/uploads/assets/468/137/137468.jpeg
Cam Coleman,Texas Longhorns,WR,2860981.0,9,Junior,5.0,65481,https://www.on3.com/db/cam-coleman-154787/,https://on3static.com/uploads/assets/602/303/303602.png
LaNorris Sellers,South Carolina Gamecocks,QB,2715179.0,10,Senior,4.0,74591,https://www.on3.com/db/lanorris-sellers-145821/,https://on3static.com/uploads/assets/0/257/257000.png
Drew Mestemaker,Oklahoma State Cowboys,QB,2489858.0,11,Junior,,7338,https://www.on3.com/db/drew-mestemaker-269959/,https://on3static.com/uploads/assets/946/510/510946.png
Dylan Stewart,South Carolina Gamecocks,EDGE,2479022.0,12,Junior,5.0,38923,https://www.on3.com/db/dylan-stewart-147687/,https://on3static.com/uploads/assets/510/303/303510.png
Julian Sayin,Ohio State Buckeyes,QB,2393862.0,13,Junior,5.0,66734,https://www.on3.com/db/julian-sayin-68682/,https://on3static.com/uploads/assets/658/332/332658.png
Josh Hoover,Indiana Hoosiers,QB,2289390.0,14,RedShirt Senior,3.0,12958,https://www.on3.com/db/josh-hoover-67226/,https://on3static.com/uploads/assets/11/72/72011.jpeg
Cameron Boozer,Duke Blue Devils,PF,2190090.0,15,Freshman,5.0,132919,https://www.on3.com/db/cameron-boozer-150005/,https://on3static.com/uploads/assets/62/207/207062.jpg
Darian Mensah,Miami Hurricanes,QB,2161001.0,16,RedShirt Junior,3.0,29381,https://www.on3.com/db/darian-mensah-153939/,https://on3static.com/uploads/assets/133/392/392133.jpg
Jayden Maiava,USC Trojans,QB,2159056.0,17,RedShirt Senior,3.0,4360,https://www.on3.com/db/jayden-maiava-58668/,https://on3static.com/uploads/assets/1/177/177001.png
Mason Heintschel,Pittsburgh Panthers,QB,2141088.0,18,Sophomore,3.0,1810,https://www.on3.com/db/mason-heintschel-237555/,https://on3static.com/uploads/assets/407/302/302407.png
Yaxel Lendeborg,Michigan Wolverines,PF,2095779.0,19,Senior,,46148,https://www.on3.com/db/yaxel-lendeborg-174590/,https://on3static.com/uploads/assets/632/294/294632.png
CJ Bailey,NC State Wolfpack,QB,2086187.0,20,Junior,3.0,43117,https://www.on3.com/db/cj-bailey-151582/,https://on3static.com/uploads/assets/344/297/297344.png
Morez Johnson,Michigan Wolverines,PF,2083031.0,21,Sophomore,4.0,22792,https://www.on3.com/db/morez-johnson-147589/,https://on3static.com/uploads/assets/459/433/433459.png
Jayden Quaintance,Kentucky Wildcats,PF,2015590.0,22,Sophomore,5.0,6186,https://www.on3.com/db/jayden-quaintance-159196/,https://on3static.com/uploads/assets/223/473/473223.png
John Mateer,Oklahoma Sooners,QB,1998245.0,23,RedShirt Senior,3.0,45747,https://www.on3.com/db/john-mateer-63401/,https://on3static.com/uploads/assets/299/383/383299.png
Jackson Cantwell,Miami Hurricanes,OT,1936045.0,24,,5.0,14885,https://www.on3.com/db/jackson-cantwell-162632/,https://on3static.com/uploads/assets/908/399/399908.jpg
David Stone,Unknown,DL,1906501.0,25,Junior,5.0,57374,https://www.on3.com/db/david-stone-32134/,https://on3static.com/uploads/assets/947/331/331947.png
Malik Washington,Maryland Terrapins,QB,1903719.0,26,Sophomore,4.0,11994,https://www.on3.com/db/malik-washington-153853/,https://on3static.com/uploads/assets/619/229/229619.png
Byrum Brown,Auburn Tigers,QB,1866346.0,27,Senior,3.0,3111,https://www.on3.com/db/byrum-brown-16332/,https://on3static.com/uploads/assets/671/494/494671.png
