name,name_normalized,school,position,season,pff_overall,pff_offense,pff_defense,pff_passing,pff_rushing,pff_receiving,player_id,headshot_url,height,weight,jersey,team_id,class_year,stars,division,on3_nil_value,on3_nil_tier,nil_value,nil_tier,confidence,is_predicted
Keelon Russell,keelon russell,ALABAMA,QB,2025,69.8,77.5,,73.5,68.2,,,,,,,,,5.0,FBS,1315949,premium,650000,premium,medium,True
Arch Manning,arch manning,TEXAS,QB,2025,77.6,87.3,,81.0,81.1,78.4,4870906.0,https://a.espncdn.com/i/headshots/college-football/players/full/4870906.png,76.0,219.0,16.0,251.0,Sophomore,5.0,FBS,5440974,mega,650000,premium,medium,True
Julian Sayin,julian sayin,OHIO STATE,QB,2025,73.3,92.9,,92.5,64.0,57.0,5079712.0,https://a.espncdn.com/i/headshots/college-football/players/full/5079712.png,73.0,208.0,10.0,194.0,Sophomore,5.0,FBS,2393862,mega,650000,premium,medium,True
Tavien St. Clair,tavien st clair,OHIO STATE,QB,2025,53.2,50.7,,49.0,,,,,,,,,,5.0,FBS,926562,premium,650000,premium,medium,True
Bryce Underwood,bryce underwood,MICHIGAN,QB,2025,61.1,70.0,,66.8,67.1,41.5,,,,,,,,5.0,FBS,3056431,mega,575000,premium,medium,True
Cade Klubnik,cade klubnik,CLEMSON,QB,2025,64.7,76.5,,77.4,57.9,51.6,4685413.0,https://a.espncdn.com/i/headshots/college-football/players/full/4685413.png,74.0,210.0,2.0,228.0,Senior,5.0,FBS,965313,premium,545000,premium,medium,True
Dante Moore,dante moore,OREGON,QB,2025,75.5,90.2,,90.2,61.4,,4870921.0,https://a.espncdn.com/i/headshots/college-football/players/full/4870921.png,75.0,206.0,5.0,2483.0,Sophomore,5.0,FBS,2994313,mega,530000,premium,medium,True
Drew Allar,drew allar,PENN STATE,QB,2025,66.9,72.4,,66.1,75.7,60.0,4714771.0,https://a.espncdn.com/i/headshots/college-football/players/full/4714771.png,77.0,235.0,15.0,213.0,Senior,5.0,FBS,1200000,premium,500000,premium,medium,True
DJ Lagway,dj lagway,FLORIDA,QB,2025,64.9,66.7,,62.6,69.4,,5079555.0,https://a.espncdn.com/i/headshots/college-football/players/full/5079555.png,75.0,247.0,2.0,57.0,Sophomore,5.0,FBS,1173042,premium,485000,solid,medium,True
Deuce Knight,deuce knight,AUBURN,QB,2025,66.3,69.8,,42.2,93.2,,5141506.0,https://a.espncdn.com/i/headshots/college-football/players/full/5141506.png,76.0,217.0,9.0,2.0,Freshman,5.0,FBS,775790,premium,470000,solid,medium,True
Gunner Stockton,gunner stockton,GEORGIA,QB,2025,67.2,81.3,,80.9,64.2,54.6,,,,,,,,4.0,FBS,1263842,premium,470000,solid,medium,True
Jackson Arnold,jackson arnold,AUBURN,QB,2025,64.0,66.2,,57.2,74.3,,4870607.0,https://a.espncdn.com/i/headshots/college-football/players/full/4870607.png,73.0,219.0,11.0,2.0,Junior,5.0,FBS,751904,premium,470000,solid,medium,True
Matthew Caldwell,matthew caldwell,TEXAS,QB,2025,77.3,90.2,,83.3,75.7,,4877717.0,https://a.espncdn.com/i/headshots/college-football/players/full/4877717.png,76.0,212.0,18.0,251.0,Senior,,FBS,,,450000,solid,medium,True
Austin Mack,austin mack,ALABAMA,QB,2025,64.0,66.2,,66.6,62.9,,5079508.0,https://a.espncdn.com/i/headshots/college-football/players/full/5079508.png,78.0,235.0,10.0,333.0,Sophomore,,FBS,,,450000,solid,medium,True
Cade Carruth,cade carruth,ALABAMA,QB,2025,65.8,68.1,,,63.5,,5093292.0,https://a.espncdn.com/i/headshots/college-football/players/full/5093292.png,73.0,215.0,16.0,333.0,Senior,,FBS,,,450000,solid,low,True
Lincoln Kienholz,lincoln kienholz,OHIO STATE,QB,2025,75.4,86.8,,81.6,73.1,,5078278.0,https://a.espncdn.com/i/headshots/college-football/players/full/5078278.png,75.0,214.0,3.0,194.0,Junior,,FBS,,,450000,solid,medium,True
Ty Simpson,ty simpson,ALABAMA,QB,2025,69.0,83.1,,81.4,68.2,51.9,,,,,,,,,FBS,,,450000,solid,medium,True
John Gazzaniga,john gazzaniga,ALABAMA,QB,2025,57.8,55.4,,,57.9,,5293574.0,https://a.espncdn.com/i/headshots/college-football/players/full/5293574.png,79.0,252.0,13.0,333.0,Freshman,,FBS,,,450000,solid,low,True
Karle Lacey Jr.,karle lacey jr,TEXAS,QB,2025,61.3,62.2,,61.6,,,5141509.0,,72.0,189.0,8.0,251.0,Freshman,,FBS,,,450000,solid,medium,True
Kenny Minchey,kenny minchey,NOTRE DAME,QB,2025,75.8,87.5,,83.9,71.8,,4918099.0,https://a.espncdn.com/i/headshots/college-football/players/full/4918099.png,74.0,204.0,8.0,87.0,Sophomore,4.0,FBS,638127,premium,425000,solid,medium,True
CJ Carr,cj carr,NOTRE DAME,QB,2025,73.7,85.1,,83.5,65.9,,5079369.0,https://a.espncdn.com/i/headshots/college-football/players/full/5079369.png,75.0,210.0,13.0,87.0,Freshman,4.0,FBS,1336404,premium,425000,solid,medium,True
Ryan Puglisi,ryan puglisi,GEORGIA,QB,2025,68.4,76.6,,78.9,58.1,,5079679.0,https://a.espncdn.com/i/headshots/college-football/players/full/5079679.png,75.0,210.0,12.0,61.0,Freshman,,FBS,,,420000,solid,medium,True
Ryan Montgomery,ryan montgomery,GEORGIA,QB,2025,60.8,61.9,,60.6,,,5141602.0,https://a.espncdn.com/i/headshots/college-football/players/full/5141602.png,75.0,215.0,15.0,61.0,Freshman,,FBS,,,420000,solid,medium,True
