name,school,position,nil_valuation,nil_rank,class_year,recruiting_stars,recruiting_rating,national_rank,state,followers,headshot_url,profile_url,category
Flau'jae Johnson,Sprayberry,CG,1500772,41.0,2022,,,,,3717480,https://on3static.com/uploads/assets/337/109/109337.png,https://www.on3.com/db/flaujae-johnson-162407/,college_womens_basketball
Juju Watkins,Sierra Canyon,CG,739146,,2023,,,,,1268521,https://on3static.com/uploads/assets/360/297/297360.jpg,https://www.on3.com/db/juju-watkins-162975/,college_womens_basketball
Jada Williams,La Jolla Country Day,PG,412055,,2023,,,,,1128584,https://on3static.com/uploads/assets/863/527/527863.jpg,https://www.on3.com/db/jada-williams-174499/,college_womens_basketball
Deja Kelly,Duncanville,CG,330878,,2020,,,,,1348127,https://on3static.com/uploads/assets/453/114/114453.png,https://www.on3.com/db/deja-kelly-163250/,college_womens_basketball
Shelomi Sanders,Rockwall-Heath,CG,298563,,2023,,,,,714576,https://on3static.com/uploads/assets/740/289/289740.png,https://www.on3.com/db/shelomi-sanders-216283/,college_womens_basketball
Azzi Fudd,St. John's College,SG,217667,,2021,,,,,612483,https://on3static.com/uploads/assets/286/124/124286.png,https://www.on3.com/db/azzi-fudd-174579/,college_womens_basketball
Chloe Kitts,DME Academy,SF,159342,,2022,,,,,477389,https://on3static.com/uploads/assets/672/373/373672.jpg,https://www.on3.com/db/chloe-kitts-175720/,college_womens_basketball
KK Arnold,Germantown,SG,145424,,2023,,,,,703097,https://on3static.com/uploads/assets/184/284/284184.png,https://www.on3.com/db/kk-arnold-162998/,college_womens_basketball
Meezy O'Neal,Episcopal,CG,138316,,2024,,,,,310658,https://on3static.com/uploads/assets/164/305/305164.jpg,https://www.on3.com/db/meezy-oneal-176938/,college_womens_basketball
Amiah Simmons,Osawatomie,SG,133094,,2021,,,,,381575,https://on3static.com/uploads/assets/226/281/281226.jpg,https://www.on3.com/db/amiah-simmons-240269/,college_womens_basketball
MiLaysia Fulwiley,W J Keenan HS,PG,124617,,2023,,,,,201202,https://on3static.com/uploads/assets/669/373/373669.jpg,https://www.on3.com/db/milaysia-fulwiley-174500/,college_womens_basketball
